Comment,Designator,Footprint,LCSC,Quantity
220nF,"C15,C44",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C107131,2
33nF,"C10,C39",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C107150,2
68nF,"C36,C7",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C107159,2
1M,"R11,R20,R52,R61",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C107700,4
270pF,"C28,C57",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C113858,2
390R,"R33,R34,R36,R37,R38,R39,R40,R41,R43,R44,R45,R46",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C114543,12
220uF,C2,CP_Elec_10x10,C125977,1
10uF,C32,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1713,1
12nF,"C25,C54",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1715,2
150pF,"C30,C43,C59,C68",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1716,4
10K,"R14,R17,R55,R58",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414,4
3.9nF,"C20,C49",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1742,2
47nF,"C21,C50",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1745,2
15K,"R10,R51",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17475,2
6.8nF,"C27,C56",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1755,2
220K,"R13,R16,R21,R23,R25,R27,R29,R31,R47,R50,R54,R57,R6,R62,R64,R66,R68,R70,R72,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17556,20
680K,"R3,R4,R5,R74,R75,R76,R77,R78",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17560,8
8.2nF,"C16,C45",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1758,2
47K,"R49,R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17713,2
82K,"R35,R42",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17840,2
560pF,"C26,C55",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1829,2
390nF,"C12,C41",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1854267,2
1uF,"C31,C33",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C215803,2
2N2222AU,"Q1,Q2,Q4",SOT-89-3_L4.5-W2.4-P1.50-LS4.0-BR,C21714170,3
100R,"R19,R60",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C25277,2
1K,"R12,R15,R18,R22,R24,R26,R28,R30,R32,R48,R53,R56,R59,R63,R65,R67,R69,R7,R71,R73",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C25623,20
2.2nF,"C22,C51",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28260,2
10uF,"C4,C5",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C440198,2
100nF,"C1,C11,C14,C17,C18,C19,C34,C37,C40,C46,C47,C48,C60,C61,C62,C63,C64,C65,C66,C67,C8",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C476766,21
LED_RED,"D11,D22",Red-ICE-CUBE-LED-5x5mm-XSCWD23MB-SunLED,C5174712,2
LED-GREEN,"D12,D4",Green-ICE-CUBE-LED-5x5mm-XSCWD23MB-SunLED,C5174713,2
LED_YELLOW,"D19,D8",Orange-ICE-CUBE-LED-5x5mm-XSCWD23MB-SunLED,C5174714,2
18nF,"C13,C42",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C5186912,2
27nF,"C23,C52",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C520042,2
2N2907AU,U1,SOT-89-3_L4.5-W2.5-P1.50-LS4.2-TL,C5362129,1
1.5uF,"C35,C6",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C6266893,2
820nF,"C38,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C67958,2
TL082,U11,SOIC-8_3.9x4.9mm_P1.27mm,C6966,1
NE5532,"U8,U9",SOIC-8_3.9x4.9mm_P1.27mm,C7426,2
3.3nF,"C29,C58",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C7467177,2
