Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,40.02,-40.9,0.0,top
C10,33nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,84.5975,-70.981667,0.0,top
C11,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,55.8,-61.351667,0.0,top
C12,390nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,106.9775,-72.821667,0.0,top
C13,18nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,106.9775,-70.691667,180.0,top
C14,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,50.6125,-51.26,0.0,top
C15,220nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,106.9675,-58.541667,0.0,top
C16,8.2nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,106.9675,-60.641667,180.0,top
C17,150pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,63.64,-68.161667,0.0,top
C18,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,66.76,-67.281667,-90.0,top
C19,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,121.8225,-58.371667,180.0,top
C2,220uF,CP_Elec_10x10,49.3,-36.39,180.0,top
C20,3.9nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,121.8225,-60.541667,0.0,top
C21,47nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,121.8025,-72.941667,180.0,top
C22,2.2nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,121.8025,-70.861667,0.0,top
C23,27nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,145.0225,-73.101667,0.0,top
C24,1nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,145.0225,-71.031667,180.0,top
C25,12nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,144.8625,-58.341667,0.0,top
C26,560pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,144.8625,-60.541667,180.0,top
C27,6.8nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,158.755,-58.571667,180.0,top
C28,270pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,158.7525,-60.681667,0.0,top
C29,3.3nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,158.7625,-72.861667,180.0,top
C30,150pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,158.7625,-70.791667,0.0,top
C31,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,201.67,-78.16,90.0,top
C32,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,199.46,-78.16,90.0,top
C33,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,215.17,-78.14,90.0,top
C34,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,213.04,-78.14,90.0,top
C35,1.5uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,259.2725,-58.451667,180.0,top
C36,68nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,259.2725,-60.561667,0.0,top
C37,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,228.4125,-67.071667,0.0,top
C38,820nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,259.1725,-73.091667,180.0,top
C39,33nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,259.1725,-71.001667,0.0,top
C4,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,68.24,-43.23,-90.0,top
C40,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,234.5425,-61.611667,0.0,top
C41,390nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,282.2225,-72.971667,0.0,top
C42,18nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,282.2225,-70.891667,180.0,top
C43,150pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,239.2225,-72.469167,-90.0,top
